AAXX,-67.5669,-68.127
AGAF,-9.1914,160.9486
AGAR,-9.8605,161.9795
AGAT,-8.8733,161.011
AGBA,-7.9128,156.706
AGBT,-8.562,158.1193
AGEV,-7.5758,156.597
AGGA,-8.7026,160.682
AGGB,-11.3022,159.7983
AGGC,-6.7119,156.3961
AGGE,-6.9907,155.8867
AGGF,-8.1075,159.577
AGGH,-9.428,160.055
AGGI,-9.7475,159.839
AGGJ,-9.8683,160.4106
AGGK,-10.4497,161.898
AGGL,-10.7203,165.795
AGGM,-8.328,157.263
AGGN,-8.0978,156.864
AGGO,-7.4169,155.565
AGGP,-9.6417,161.425
AGGR,-11.55,160.0628
AGGS,-8.5789,157.876
AGGT,-10.848,162.4541
AGGU,-9.8617,160.825
AGGV,-7.5856,158.731
AGGY,-9.0928,159.2184
AGIN,-9.8058,159.9627
AGKG,-7.3305,157.585
AGKU,-8.0262,156.9478
AGKW,-8.3605,160.7751
AGLM,-10.2968,166.3273
AGNA,-10.6758,162.2049
AGOB,-8.325,160.8005
AGOK,-8.7384,158.2028
AGRC,-8.1264,157.143
AGRM,-8.1681,157.643
AGTI,-9.108,160.1492
ANYN,-0.5479,166.9195
AQBC,-74.7394,164.0354
ATUA,-3.386,141.5868
AYAA,-4.1011,141.67
AYAE,-6.23,144.6642
AYAF,-9.1387,148.3907
AYAG,-9.9277,149.39
AYAI,-3.1436,142.3468
AYAK,-7.3428,141.2675
AYAM,-3.586,141.2143
AYAN,-7.1372,145.7447
AYAO,-5.1457,144.7307
AYAQ,-5.3817,143.9247
AYAT,-4.2157,142.8232
AYAU,-5.4951,142.5137
AYAW,-8.0134,142.7521
AYAX,-7.3508,146.194
AYAY,-6.3381,145.9042
AYBA,-7.497,144.8218
AYBB,-5.2685,142.097
AYBC,-5.8636,146.4925
AYBD,-9.1078,147.6667
AYBF,-7.8485,143.2433
AYBG,-6.3472,146.9422
AYBH,-8.8581,141.2594
AYBI,-3.0217,141.1653
AYBK,-5.4223,154.6727
AYBL,-5.3306,151.008
AYBM,-8.05,142.933
AYBO,-6.3732,144.637
AYBP,-7.7436,147.0206
AYBQ,-5.5264,141.7446
AYBR,-7.6693,146.7594
AYBS,-5.3882,145.4474
AYBT,-6.5519,143.9439
AYBU,-7.2163,146.6495
AYBW,-2.6182,141.092
AYBX,-7.3405,144.5477
AYBY,-6.8385,145.8732
AYBZ,-9.6425,149.3039
AYCB,-4.8066,144.715
AYCG,-5.4552,148.4223
AYCH,-6.0243,144.971
AYCN,-4.3287,143.7406
AYCS,-10.5628,150.6907
AYDB,-6.3086,141.9056
AYDD,-6.6305,144.6383
AYDE,-6.1447,147.1072
AYDI,-5.7422,145.2275
AYDK,-4.6204,143.4516
AYDL,-8.5336,142.5049
AYDN,-6.1546,146.6772
AYDO,-10.7009,150.7218
AYDP,-5.3599,144.4462
AYDQ,-8.6298,142.2162
AYDR,-9.4619,147.9209
